objectid,pghdb_sde_permitparking_area,perimeter,permitpk,permitpk_i,code,neighborhood,number,acres,sqmiles,uniqueid,status,enforcement,grace_period,visitor_pass,monday,tuesday,wednesday,thursday,friday,saturday,sunday,other_time,hcmap,district,code_rpp,code_district,created_user,created_date,last_edited_user,last_edited_date,expiration_date,shape_area,shape_length
1,,2611.33732249,33,37,Q,NORTH OAKLAND,0,8.85,0.014,1,Approved,,1 Hour,3 Days,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,,,,Oakland,Q,Q - Oakland,SDE,2020-03-04T14:08:19,SDE,2020-03-04T14:08:19,Permit Expires December 1st,385498.968566895,2611.33757504887
2,,0,0,0,F,EAST ALLEGHENY,0,0,0,0,Approved,,2 Hours,3 Days,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,,,,East Allegheny-East North Side,F,F - East Allegheny-East North Side,SDE,2020-03-04T14:08:19,SDE,2020-03-04T14:08:19,Permit Expires February 1st,75865.2299194336,1576.01308754914
3,,1794.41441519,3,102,I,GARFIELD,0,2.618,0,1,Approved,,1 Hour,3 Days,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,,,,Garifield,I,I - Garifield,SDE,2020-03-04T14:08:19,SDE,2020-03-04T14:08:19,Permit Expires May 1st,373760.793579102,3059.45308856064
4,,6583.4947902,40,2,C,WEST OAKLAND,0,26.058,0.04,1,Approved,,2 Hours,3 Days,9:00 AM - 7:00 PM,9:00 AM - 7:00 PM,9:00 AM - 7:00 PM,9:00 AM - 7:00 PM,9:00 AM - 7:00 PM,,,,,Oakland,C,C - Oakland,SDE,2020-03-04T14:08:19,SDE,2020-03-04T14:08:19,Permit Expires July 1st,1140585.00146484,6505.44621658413
5,,0,0,0,CC,SOUTH SIDE FLATS,0,31.399,0,0,Approved,,2 Hours,3 Days,12:00 PM - 12:00 AM,12:00 PM - 12:00 AM,12:00 PM - 12:00 AM,12:00 PM - 12:00 AM,12:00 PM - 12:00 AM,12:00 PM - 12:00 AM,,,,South Side,CC,CC - South Side,SDE,2020-03-04T14:08:19,SDE,2020-03-04T14:08:19,Permit Expires January 1st,1892113.77935791,7149.17708146874
6,,5103.25320429,0,0,DD,SOUTH SIDE FLATS,0,11.785,0.022,0,Approved,,2 Hours,3 Days,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,,,,,South Side,DD,DD - South Side,SDE,2020-03-04T14:08:19,SDE,2020-03-04T14:08:19,Permit Expires January 1st,1799403.73205566,9074.8413515784
7,,4981.56918135,8,6,L,CENTRAL NORTHSIDE,0,19.779,0.033,1,Approved,,1 Hour,3 Days,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,,,,,North Side,L,L - North Side,SDE,2020-03-04T14:08:19,SDE,2020-03-04T14:08:19,Permit Expires January 1st,869928.799560547,5146.01608626328
8,,,,,GG,LAWRENCEVILLE,,,,,Approved,,,,,,,,,,,,,Lawrenceville,GG,GG - Lawrenceville,SDE,2020-03-04T14:08:19,SDE,2020-03-04T14:08:19,Permit Expires March 1st,613634.003479004,3862.52725405944
9,,,,,KK,SOUTH SIDE FLATS,,,,,,,,,,,,,,,,,,,KK,KK - South Side Flats,SDE,2020-03-04T14:08:19,SDE,2020-03-04T14:08:19,Permit Expires August 1st,427840.630462646,2993.20977987354
10,,0,0,0,FF, ,0,0,0,0,Approved,"Mon - Sat, 7am - 7pm",1 hour,3 Days,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,,,,Schenley Farms,FF,FF - Schenley Farms,SDE,2020-03-04T14:08:19,SDE,2020-03-04T14:08:19,Permit Expires February 1st,1071561.17297363,4581.63575614476
